Feature,Importance
gold_return_1d,0.0002808012778269836
nifty_ret_1d,0.00020126923007262606
gold_usd_ret_1d,0.0001918050634584902
sp500_ret_1d,0.00014666919418182883
silver_ret_1d,0.00014087322358420987
usd_inr_ret_1d,5.9045617910941836e-05
sp500_ret_1d_lag10,5.7843121077677684e-05
nifty_ret_1d_lag10,3.5006040170301855e-05
crude_ret_1d_lag1,3.4567008277148386e-05
silver_ret_mean_10d,3.1077510161156484e-05
gold_return_1d_lag10,3.0045377400556198e-05
crude_ret_mean_5d,2.7217782942950714e-05
bb_upper,2.6054495031951905e-05
silver_ret_mean_21d,2.5140821050552782e-05
crude_ret_mean_63d,2.4495722823164016e-05
sp500_ret_mean_5d,2.3857207135316507e-05
silver_ret_std_10d,2.2971918346875532e-05
usd_ret_std_63d,2.255182484687245e-05
sp500_ret_1d_lag5,2.2313529625418213e-05
gold_ret_mean_21d,2.160821424922556e-05
bb_lower,2.1106630158361016e-05
silver_ret_mean_5d,2.103480514554875e-05
sp500_ret_mean_10d,2.08900252516297e-05
usd_inr_ret_1d_lag1,2.0708965443048063e-05
sp500_ret_1d_lag3,1.977413591701509e-05
gold_ret_std_10d,1.9741508222818064e-05
usd_ret_std_21d,1.9611710609594848e-05
crude_ret_mean_10d,1.9078316392803903e-05
nifty_ret_1d_lag2,1.8850502098159173e-05
usd_ret_std_5d,1.867123697867101e-05
usd_ret_mean_5d,1.792948974155464e-05
nifty_ret_1d_lag3,1.681448971701937e-05
gold_ret_std_5d,1.670763554823662e-05
sp500_ret_mean_63d,1.6068435361147706e-05
nifty_ret_std_21d,1.5968442166914963e-05
nifty_ret_mean_21d,1.5864255581846383e-05
sp500_ret_std_5d,1.5817198503628243e-05
gold_usd_ret_1d_lag10,1.563667564786126e-05
usd_inr_ret_1d_lag5,1.5338537324666262e-05
crude_ret_1d_lag10,1.5230248576319664e-05
usd_ret_mean_21d,1.4885531001709705e-05
sp500_ret_1d_lag1,1.4642530094506615e-05
usd_ret_mean_10d,1.4383479721594942e-05
usd_ret_mean_63d,1.4290231319019034e-05
gold_ret_mean_10d,1.4126230882587981e-05
sp500_ret_mean_21d,1.3879906634255674e-05
silver_ret_1d_lag5,1.376444208602718e-05
macd_hist,1.3468577355049983e-05
silver_ret_1d_lag1,1.344259426742405e-05
silver_ret_1d_lag10,1.342309456657054e-05
nifty_ret_std_5d,1.3273957396128064e-05
gold_usd_ret_1d_lag2,1.2846447933906979e-05
sp500_ret_std_10d,1.2612049628499473e-05
crude_ret_mean_21d,1.2543701466005741e-05
gold_ret_std_63d,1.2508216765368578e-05
gold_ret_mean_5d,1.2269091409697109e-05
nifty_ret_1d_lag5,1.2260811081432173e-05
gold_ret_std_21d,1.219439944033522e-05
sp500_ret_1d_lag2,1.1867866564040031e-05
silver_ret_mean_63d,1.1828903794493804e-05
gold_return_1d_lag5,1.1779078170560127e-05
macd_signal,1.0951978349750439e-05
silver_ret_std_5d,1.0747787773606876e-05
usd_inr_ret_1d_lag10,1.0662037814505303e-05
nifty_ret_mean_63d,1.0416980744812978e-05
gold_usd_ret_1d_lag5,1.0007487733442552e-05
macd,9.959571630923998e-06
gold_ret_mean_63d,9.795127362336528e-06
sp500_ret_std_63d,9.67925736965528e-06
nifty_ret_mean_10d,9.567549898186221e-06
crude_ret_1d_lag5,9.531267041644262e-06
nifty_ret_mean_5d,9.359227057439416e-06
crude_ret_1d_lag2,8.898644397383122e-06
nifty_ret_1d_lag1,8.871071801765951e-06
silver_ret_std_63d,8.717729835430777e-06
silver_ret_1d_lag2,8.372931499631053e-06
silver_ret_std_21d,8.354739738290671e-06
gold_usd_ret_1d_lag3,8.31363869065651e-06
bb_width,8.271162492302428e-06
nifty_ret_std_63d,8.081790595465507e-06
gold_return_1d_lag1,7.994579155208456e-06
crude_ret_std_63d,7.896627392971804e-06
usd_inr_ret_1d_lag3,7.829509143338466e-06
nifty_ret_std_10d,7.554757900218653e-06
usd_ret_std_10d,7.47364705472028e-06
crude_ret_std_5d,7.29668014205453e-06
crude_ret_std_10d,7.157963043440121e-06
gold_return_1d_lag3,6.863597414368996e-06
rsi_7,6.420873127775234e-06
gold_usd_ret_1d_lag1,6.387307717278311e-06
week_of_year,6.22687031883781e-06
silver_ret_1d_lag3,5.81246756322097e-06
crude_ret_1d_lag3,5.510725832917615e-06
crude_ret_1d,5.379060374946535e-06
sp500_ret_std_21d,5.348404300602448e-06
crude_ret_std_21d,5.011693858548819e-06
month_sin,4.5800847133382265e-06
gold_return_1d_lag2,4.505556018997518e-06
bb_pct,4.393754167582569e-06
usd_inr_ret_1d_lag2,4.0753673162349225e-06
day_of_week,3.7951140853499657e-06
rsi_14,3.601420178606211e-06
wedding_season,3.1913769906136184e-06
month,2.8090396604356316e-06
month_cos,2.290119909499309e-06
quarter,1.074016565767427e-06
akshaya_tritiya_season,3.7272791318529913e-07
is_month_end,0.0
festival_season,0.0
is_quarter_end,0.0
